##;ENG;FRA;ITA;SPA;GER;POL;POR;RUS;;;X
AREA_MAGHREB_COAST;Maghreb Coast;Cфte du Maghreb;Costa del Magreb;Costa del Magreb;Kьste von Maghreb;Wybrzeїe Maghrebu;;побережье Магриба;;;X
AREA_MAINE;Maine;Maine;Maine;Maine;Maine;Maine;;Мэн;;;X
AREA_MALACKA;Malacka;Malacca;Malacca;Malaca;Malakka;Malakka;;Малакка;;;X
AREA_MALIAN_DESERT;Malian Desert;Dйsert Malien;Deserto del Mali;Desierto de Malн;Malische Wьste;Pustynia Malijska;;Малийская пустыня;;;X
AREA_MALIAN_VALLEYS;Malian Valleys;Vallйes Maliennes;Valli di Mali;Valles de Malн;Malische Tдler;Doliny Malijskie;;Малийская равнина;;;X
AREA_MANAUS;Manaus;Manaus;Manaus;Manaos;Manaus;Manaus;;Манаус;;;X
AREA_MANITOBA;Manitoba;Manitoba;Manitoba;Manitoba;Manitoba;Manitoba;;Манитоба;;;X
AREA_MARACAIBO;Maracaibo;Maracaibo;Maracaibo;Maracaibo;Maracaibo;Maracaibo;;Маракайбо;;;X
AREA_MARCUS_WAKE;Marcus-Wake;Marcus-Wake;Marcus-Wake;Marcus-Wake;Marcusinsel/Wake-Atoll;Marcus-Wake;;Маркус_Уэйк;;;X
AREA_MARSHALLS;Marshalls;Iles Marshall;Marshalls;Las Marshall;Marshall-Inseln;Wyspy Marshalla;;Маршалловы о-ва;;;X
AREA_MARYLAND_DELAWARE;Maryland-Delaware;Maryland-Delaware;Maryland-Delaware;Maryland-Delaware;Maryland/Delaware;Delaware-Maryland;;Мэриленд_Делавэр;;;X
AREA_MASSACHUSSETS;Massachussets;Massachusetts;Massachussets;Massachusetts;Massachussets;Massachussets;;Массачусетс;;;X
AREA_MATO_GROSSO;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;Mato Grosso;;Мату-Гросу;;;X
AREA_MAURETANIA;Mauretania;Mauritanie;Mauritania;Mauritania;Mauretanien;Mauretania;;Мавритания;;;X
AREA_MELBOURNE;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;Melbourne;;Мельбурн;;;X
AREA_MELKOSOPOTJNIK;Melkosopotjnik;Melkosopotjnik;Melkosopotjnik;Melkosopotjnik;Kasachische Schwelle;Melkosopotnik;;Мелкосопочник;;;X
AREA_MEMEL;Memel;Memel;Memel;Memel;Memel;Kіajpeda;;Мемель;;;X
AREA_MEXICO_CITY;Mexico City;Mexico;Cittа del Messico;Ciudad de Mйxico;Mexiko;Meksyk;;Мехико;;;X
AREA_MICHIGAN;Michigan;Michigan;Michigan;Michigan;Michigan;Michigan;;Мичиган;;;X
AREA_MIDWAY;Midway;Midway;Midway;Midway;Midwayinseln;Midway;;о-в Мидуэй;;;X
AREA_MINDANAO;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;Mindanao;;Минданао;;;X
AREA_MINNESOTA;Minnesota;Minnesota;Minnesota;Minnesota;Minnesota;Minnesota;;Миннесота;;;X
AREA_MINSK;Minsk;Minsk;Minsk;Minsk;Minsk;Miсsk;;Минск;;;X
AREA_MISSISSIPPI;Mississippi;Mississippi;Mississippi;Mississippi;Mississippi;Mississippi;;Миссисипи;;;X
AREA_MISSOURI;Missouri;Missouri;Missouri;Missouri;Missouri;Missouri;;Миссури;;;X
AREA_MOCAMBIQUE;Mocambique;Mozambique;Mozambico;Mozambique;Mosambik;Mozambik;;Мозамбик;;;X
AREA_MOLUCKS;Molucks;Moluques;Molucche;Molucas;Molukken;Moluki;;Молуккские о-ва;;;X
AREA_MONGOLIA;Mongolia;Mongolie;Mongolia;Mongolia;Mongolei;Mongolia;;Монголия;;;X
AREA_MONTANA;Montana;Montana;Montana;Montana;Montana;Montana;;Монтана;;;X
AREA_MOROCCO;Morocco;Maroc;Marocco;Marruecos;Marokko;Maroko;;Марокко;;;X
AREA_MOSCOW;Moscow;Moscou;Mosca;Moscъ;Moskau;Moskwa;;Москва;;;X
AREA_MOZIR;Mozyr;Mozyr;Mozir;Mozir;Mozyr;Mozyrz;;Мозырь;;;X
AREA_NAGPUR;Nagpur;Nagpur;Nagpur;Nвgpur;Nagpur;Nagpur;;Нагпур;;;X
AREA_NALCHIK;Nalchik;Nalchik;Nalchik;Nalchik;Nalchik;Nalczik;;Нальчик;;;X
AREA_NAMBIA;Namibia;Namibie;Namibia;Namibia;Namibia;Namibia;;Намибия;;;X
AREA_NAURU;Nauru;Nauru;Nauru;Nauru;Nauru;Nauru;;Науру;;;X
AREA_NEBRASKA;Nebraska;Nebraska;Nebraska;Nebraska;Nebraska;Nebraska;;Небраска;;;X
AREA_NEDRE_NORRLAND;Nedre Norrland;Nedre Norrland;Nedre Norrland;Norrland meridional;Niedernorrland;Nedre-Norrland;;Внутренний Норланд;;;X
AREA_NETHERLANDS;Netherlands;Pays-Bas;Paesi Bassi;Paнses Bajos;Niederlande;Holandia;;Нидерланды;;;X
AREA_NEVADA;Nevada;Nevada;Nevada;Nevada;Nevada;Newada;;Невада;;;X
AREA_NEW_BRUNSWICK;New Brunswick;Nouveau-Brunswick;New Brunswick;New Brunswick;Neubraunschweig;Nowy Brunszwik;;Нью-Брансуик;;;X
AREA_NEW_FOUNDLAND;Newfoundland;Terre-Neuve;New Foundland;Terranova y Labrador;Neufundland;Nowa Funlandia;;Ньюфаундленд;;;X
AREA_NEW_HAMPSHIRE;New Hampshire;New Hampshire;New Hampshire;New Hampshire;New Hampshire;New Hampshire;;Нью-Гемпшир;;;X
AREA_NEW_JERSEY;New Jersey;New Jersey;New Jersey;Nueva Jersey;New Jersey;New Jersey;;Нью-Джерси;;;X
AREA_NEW_MEXICO;New Mexico;Nouveau Mexique;Nuovo Messico;Nuevo Mйxico;Neu Mexiko;Nowy Meksyk;;Нью-Мексико;;;X
AREA_NEW_YORK;New York;New York;New York;Nueva York;New York;Nowy Jork;;Нью-Йорк;;;X
AREA_NEW_ZEALAND;New Zealand;Nouvelle-Zйlande;Nuova Zelanda;Nueva Zelanda;Neuseeland;Nowa Zelandia;;Новая Зеландия;;;X
AREA_NIASSA;Niassa;Nyassa;Niassa;Niassa;Niassa;Niassa;;Ниас;;;X
AREA_NICARAGUA;Nicaragua;Nicaragua;Nicaragua;Nicaragua;Nikaragua;Nikaragua;;Никарагуа;;;X
AREA_NIGER;Niger;Niger;Nigeria;Nнger;Niger;Niger;;Нигер;;;X
AREA_NILE_VALLEY;Nile Valley;Vallйe du Nil;Valle del Nilo;Valle del Nilo;Niltal;Dolina Nilu;;Долина Нила;;;X
AREA_NIZHNIJ_NOVGOROD;Gorkij;Nizhnij Novgorod;Nizhnij Novgorod;Nizni Nуvgorod;Nizhnij Nowgorod;Niїnyj Nowogrуd;;Горький;;;X
AREA_NORMANDY;Normandy;Normandie;Normandia;Normandнa;Normandie;Normandia;;Нормандия;;;X
AREA_NORTH_BISMARCK_ARCHIPELAGO;North Bismarck Archipelago;L'Archipel de Bismarck du Nord;Arcipelago di Bismarck sett.;Norte del Archipiйlago de Bismarck;Nцrdl. Bismarck-Archipel;Pуіnocny Archipelag Bismarcka;;Север Архипелага Бисмарка;;;X
AREA_NORTH_BORNEO;North Borneo;Bornйo Septentrional;Borneo settentrionale;Borneo septentrional;Nordborneo;Pуіnocne Borneo;;Северный Борнео;;;X
AREA_NORTH_BURMA;North Burma;Birmanie du Nord;Birmania settentrionale;Norte de Birmania;Westl. Aleuten;Pуіnocna Birma;;Северная Бирма;;;X
AREA_NORTH_CAROLINA;North Carolina;Caroline du Nord;Nord Carolina;Carolina del Norte;Nord-Carolina;Karolina Pуіnocna;;Северная Каролина;;;X
AREA_NORTH_DAKOTA;North Dakota;Dakota du Nord;Nord Dakota;Dakota del Norte;Nord-Dakota;Pуіnocna Dakota;;Северная Дакота;;;X
AREA_NORTH_ENGLAND;North England;Nord de l’Angleterre;Inghilterra settentrionale;Inglaterra septentrional;Nordengland;Pуіnocna Anglia;;Северная Англия;;;X
AREA_NORTH_ETHIOPIA;North Ethiopia;Йthiopie septentrionale;Etiopia settentrionale;Etiopнa septentrional;Nordдthiopien;Pуіnocna Etiopia;;Северная Эфиопия;;;X
AREA_NORTH_GILBERTS;Gilberts;Iles Gilbert septentrionales;Gilberti settentrionale;Islas Gilbert del norte;Nцrdl. Gilbertinseln;Pуіnocne Wyspy Gilberta;;Острова Гилберта;;;X
AREA_NORTH_IRELAND;Northern Ireland;Irlande du Nord;Irlanda settentrionale;Irlanda del Norte;Nordirland;Irlandia Pуіnocna;;Северная Ирландия;;;X
AREA_NORTH_ITALY;North Italy;Italie septentrionale;Italia settentrionale;Italia septentrional;Norditalien;Pуіnocne Wіochy;;Северная Италия;;;X
AREA_NORTH_KRASNOYARSK;North Krasnoyarsk;Krasnoпarsk septentrional;Krasnoyarsk settentrionale;Krasnoiarsk septentrional;Nord Krasnoyarsk;Pуіnocny Krasnojarsk;;Северный Красноярск;;;X
AREA_NORTH_MARIANES;Marianas;Iles Mariannes septentrionales;Mariane settentrionali;Marianas del norte;Nord-Marianen;Pуіnocne Mariany;;Марианские о-ва;;;X
AREA_NORTH_NEW_HEBRIDES;North New Hebrides;Les Nouvelles Hйbrides du Nord;Nuove Ebridi settentrionali;Norte de las Nuevas Hйbridas;Nцrdliche Neue Hebriden;Pуіnocne Nowe Hebrydy;;Север Новых Гебридов;;;X
AREA_NORTH_NIGERIA;North Nigeria;Nigeria septentrional;Nigeria settentrionale;Nigeria septentrional;Nordnigeria;Pуіnocna Nigeria;;Северная Нигерия;;;X
AREA_NORTH_PERSIA;North Persia;Perse septentrionale;Persia settentrionale;Persia septentrional;Nordpersien;Pуіnocna Persja;;Северная Персия;;;X
AREA_NORTH_RHODESIA;North Rhodesia;Rhodйsie septentrionale;Rodesia settentrionale;Rhodesia del Norte;Nordrhodesien;Pуіnocna Rodezja;;Северная Родезия;;;X
AREA_NORTH_ROMANIA;North Romania;Nord de la Roumanie;Romania settentrionale;Rumania septentrional;Nordrumдnien;Pуіnocna Rumunia;;Северная Румыния;;;X
AREA_NORTH_SCOTLAND;North Scotland;Nord de l’Йcosse;Scozia settentrionale;Escocia septentrional;Nordschottland;Pуіnocna Szkocja;;Северная Шотландия;;;X
AREA_NORTHERN_NORWAY;Northern Norway;Norvиge septentrionale;Norvegia settentrionale;Noruega septentrional;Nordnorwegen;Pуіnocna Norwegia;;Северная Норвегия;;;X
AREA_NORTHWEST_TERRITORIES;Eastern Northwest Territories;Territoires Nord-ouest;Territori di nord-ovest;Territorios noroccidentales;Nordwest-Territorien;Terytoria Pуіnocno-Zachodnie;;Восток Северо-Западных земель;;;X
AREA_NOVA_SCOTIA;Nova Scotia;Nova Scotia;Nuova Scozia;Nueva Escocia;Neuschottland;Nowa Szkocja;;Новая Шотландия;;;X
AREA_NOVGOROD;Novgorod;Novgorod;Novgorod;Nуvgorod;Nowgorod;Nowogrуd;;Новгород;;;X
AREA_NOVOSIBIRSK;Novosibirsk;Novossibirsk;Novosibirsk;Novosibirsk;Novosibirsk;Nowosybirsk;;Новосибирск;;;X
AREA_NUBIAN_DESERT;Nubian Desert;Dйsert de Nubie;Deserto nubiano;Desierto de Nubia;Nubische Wьste;Pustynia Nubijska;;Нубийская пустыня;;;X
AREA_ODESSA;Odessa;Odessa;Odessa;Odesa;Odessa;Odessa;;Одесса;;;X
AREA_OESTERBOTTEN;Oesterbotten;Oesterbotten;Oesterbotten;Oesterbotten;Цsterbotten;Oesterbotten;;Эстерботтен;;;X
AREA_OESTRA_SVEALAND;Oestra Svealand;Oestra Svealand;Oestra Svealand;Svealand oriental;Ostsvealand;Wschodni Svealand;;Восточный Свеаланд;;;X
AREA_OEVRE_NORRLAND;Oevre Norrland;Oevre Norrland;Oevre Norrland;Norrland septentrional;Obernorrland;Oevre Norrland;;Внешний Норланд;;;X
AREA_OHIO;Ohio;Ohio;Ohio;Ohio;Ohio;Ohio;;Огайо;;;X
AREA_OKLAHOMA;Oklahoma;Oklahoma;Oklahoma;Oklahoma;Oklahoma;Oklahoma;;Оклахома;;;X
AREA_OMSK;Omsk;Omsk;Omsk;Omsk;Omsk;Omsk;;Омск;;;X
AREA_ONTARIO;Ontario;Ontario;Ontario;Ontario;Ontario;Ontario;;Онтарио;;;X
AREA_ORAN;Oran;Oran;Oran;Orбn;Oran;Oran;;Оран;;;X
AREA_OREGON;Oregon;Oregon;Oregon;Oregуn;Oregon;Oregon;;Орегон;;;X
AREA_ORENBURG;Orenburg;Orenburg;Orenburg;Oremburgo;Orenburg;Orenburg;;Оренбург;;;X
AREA_ORISSA;Orissa;Orissa;Orissa;Orissa;Orissa;Oryssa;;Орисса;;;X
AREA_PAKISTAN;Pakistan;Pakistan;Pakistan;Pakistбn;Pakistan;Pakistan;;Пакистан;;;X
AREA_PALAWAN_MINDORO;Western Philippines;Palawan-Mindoro;Palawan-Mindoro;Palawan-Mindoro;Palawan/Mindoro;Palawan-Mindoro;;Западные Филиппины;;;X
AREA_PALESTINE;Palestine;Palestine;Palestina;Palestina;Palдstina;Palestyna;;Палестина;;;X
AREA_PANAMAN_RIDGE;Panaman Ridge;Chaоne panamйenne;Dorsale di Panama;Sierra de Panamб;Panamesisches Gebirge;Grzbiet Panamski;;Панамский хребет;;;X
AREA_PARIS;Paris;Paris;Parigi;Parнs;Paris;Paryї;;Париж;;;X
AREA_PAS_DE_CALAIS;Pas de Calais;Pas de Calais;Passo di Calais;Pas de Calais;Pas-de-Calais;Pas de Calais;;Па-де-Кале;;;X
AREA_PENNSYLVANIA;Pennsylvania;Pennsylvanie;Pennsylvania;Pennsylvania;Pennsylvania;Pensylwania;;Пенсильвания;;;X
AREA_PENZA;Penza;Penza;Penza;Penza;Penza;Penza;;Пенза;;;X
AREA_PERM;Perm;Perm;Perm;Perm;Perm;Perm;;Пермь;;;X
AREA_PERSIAN_GULF_COAST;Persian Gulf Coast;Cфte du Golfe persique;Costa del golfo Persico;Costa del Golfo Pйrsico;Kьste des Persischen Golfs;Wybrzeїe Zatoki Perskiej;;побережье Персидского залива;;;X
AREA_PERTH;Perth;Perth;Perth;Perth;Perth;Perth;;Перт;;;X
AREA_PETROZAVODSK;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Petrozavodsk;Pietrozawodowsk;;Петрозаводск;;;X
AREA_PHOENIX;Phoenix;Phњnix;Phoenix;Phoenix;Phoenix;Phoenix;;Феникс;;;X
AREA_POLOTSK;Bialystok;Bialystok;Bialystok;Bialistok;Bialystok;Biaіystok;;Белосток;;;X
AREA_POLTAVA;Poltava;Poltava;Poltava;Poltava;Poltava;Poіtawa;;Полтава;;;X
AREA_POLYNESIA;Polynesia;Polynйsie;Polinesia;La Polinesia;Gesellschaftsinseln;Polinezja;;Полинезия;;;X
AREA_PORT_MORESBY;Papua;Port Moresby;Port Moresby;Port Moresby;Port Moresby;Port Moresby;;Папуа;;;X
AREA_PORTUGAL;Portugal;Portugal;Portogallo;Portugal;Portugal;Portugalia;;Португалия;;;X
AREA_POZNAN;Poznan;Poznan;Poznan;Poznaс;Posen;Poznaс;;Познань;;;X
AREA_PRIMORSKI;Primorski;Primorski;Primorski;Primorsk;Primorsk;Kraj Przymorski;;Приморский край;;;X
AREA_PSKOV;Pskov;Pskov;Pskov;Pskov;Pleskau;Pskуw;;Псков;;;X
AREA_PYONGYANG;North Korea;Pyongyang;Pyongyang;Pyongyang;Pyongyang;Phenian;;Северная Корея;;;X
AREA_PYRENEES_LANGUEDOC;Pyrenees-Languedoc;Pyrйnйes-Languedoc;Pirenei-Languedoc;Pirineos-Languedoc;Pyrenдen/Languedoc;Pireneje-Langwedocja;;Пиринеи_Лангедок;;;X
AREA_QATTARA;Qattara;Qattara;Qattara;Qattara;Katarra;Al-Katarra;;Каттара;;;X
AREA_QINGHAI;Qinghai;Qinghai;Qinghai;Qinghai;Qinghai;Cinghaj;;Цинхай;;;X
AREA_QUEBEC;Quebec;Quйbec;Quebec;Quebec;Quebec;Quebec;;Квебек;;;X
AREA_QUITO;Quito;Quito;Quito;Quito;Quito;Quito;;Кито;;;X
AREA_RABAUL;New Britain;Rabaul;Rabaul;Rabaul;Rabaul;Rabaul;;Новая Британия;;;X
AREA_RAJASTAN;Rajastan;Rajasthan;Rajastan;Rajastбn;Rajastan;Rajastan;;Раджастхан;;;X
AREA_RED_SEA_COAST;Red Sea Coast;Cфte de la Mer Rouge;Costa del mar Rosso;Costa del Mar Rojo;Kьste des Rotes Meers;Wybrzeїe Morza Czerwonego;;побережье Красного моря;;;X
AREA_REHE;Rehe;Rehe;Rehe;Rehe;Rehe;Rehe;;Рее;;;X
AREA_RESERVOIRE_RYBINSK;Reservoire Rybinsk;Rйservoir de Rybinsk;Reservoire Rybinsk;Embalse de Rнbinsk;Rybinsker Reservoir;Zbiornik Rybiсsk;;Рыбинское водохранилище;;;X
AREA_RHINELAND;Rhineland;Rhйnanie;Rhineland;Rhineland;Rheinland;Nadrenia;;Рейн;;;X
AREA_RIO_DE_JANEIRO;Rio de Janeiro;Rio de Janeiro;Rio de Janeiro;Rнo de Janeiro;Rio de Janeiro;Rio de Janeiro;;Рио-де-Жанейро;;;X
AREA_RIO_DE_ORO;Rio de Oro;Rio de Oro;Rio de Oro;Rнo de Oro;Rio de Oro;Rio de Oro;;Рио-де-Оро;;;X
AREA_ROGACHEV;Gomel;Gomel;Gomel;Gуmel;Gomel;Gomel;;Гомель;;;X
AREA_ROSTOV;Rostov;Rostov;Rostov;Rostov;Rostov;Rostуw;;Ростов;;;X
AREA_RYAZAN;Ryazan;Riazan;Ryazan;Riazбn;Ryazan;Riazaс;;Рязань;;;X
AREA_RYUKYULAND;Ryukyus;Ryukyus;Ryukyus;Ryukyu;Ryukyu-Inseln;Riukiu;;Рюкю;;;X
AREA_SACHSEN;Sachsen;Sachsen;Sachsen;Sajonia;Sachsen;Saksonia;;Саксония;;;X
AREA_SAKHALIN_KURILES;Sakhalin-Kuriles;Sakhaline-Kouriles;Sakhalin-Kurili;Sajalнn-Kuriles;Sakhalin/Kurilen;Sachalin-Kuryle;;Сахалин_Курилы;;;X
AREA_SAMOA;Samoa;Samoa;Samoa;Samoa;Samoa-Inseln;Samoa;;Самоа;;;X
AREA_SAO_PAULO;Sao Paulo;Sao Paulo;San Paulo;Sao Paulo;Sao Paulo;Sao Paulo;;Сан-Паулу;;;X
AREA_SARANSK;Saransk;Saransk;Saransk;Saransk;Saransk;Saraсsk;;Саранск;;;X
AREA_SARMI;Sarmi;Sarmi;Sarmi;Sarmi;Sarmi;Sarmi;;Сарми;;;X
AREA_SASKATCHEWAN;Saskatchewan;Saskatchewan;Saskatchewan;Saskatchewan;Saskatchewan;Saskatchewan;;Саскачеван;;;X
AREA_SENEGAMBIA;Senegambia;Sйnйgambie;Senegambia;Senegambia;Senegambia;Senegambia;;Сенегамбия;;;X
AREA_SENJAVIN;Senjavin;Senjavin;Senjavin;Senjavin;Senjawininseln;Seniawin;;Сенджавин;;;X
AREA_SEOUL;South Korea;Sйoul;Seul;Seъl;Seoul;Seul;;Южная Корея;;;X
AREA_SHAANXI;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Shaanxi;Szensi;;Шаньси;;;X
AREA_SHABA;Shaba;Shaba;Shaba;El Shaba;Katanga;Szaba;;Шэньси;;;X
AREA_SHANDONG;Shandong;Shandong;Shandong;Shandong;Shandong;Szantung;;Шаба;;;X
AREA_SHANXI;Shanxi;Shanxi;Shanxi;Shansi;Shanxi;Szansi;;Шандун;;;X
AREA_SIAM;Siam;Siam;Siam;Siam;Siam;Syjam;;Сиам;;;X
AREA_SICHUAN;Sichuan;Sichuan;Sichuan;Sichuan;Sichuan;Syczuan;;Сычуань;;;X
AREA_SICILIAN_GAP;Sicilian Gap;Dйtroit de Sicile;Can. di Sicilia;Estrecho de Messina;Sizilischer Raum ;Cieњninia Sycylijska;;Сицилийский пролив;;;X
AREA_SIDI_BARRANI;Sidi Barrani;Sidi Barrani;Sidi Barrani;Sпdп Barrani;Sidi Barrani;Sidi Barrani;;Сиди-Баррани;;;X
AREA_SILESIA;Silesia;Silesie;Silesia;Silesia;Schlesien;Њl№sk;;Силезия;;;X
AREA_SIRTE;Sirte;Syrte;Sirte;Sirte;Syrte;Sirta;;Сидра;;;X
AREA_SLAVE_COAST;Slave Coast;Cфte slave;Costa slava;Costa de los Esclavos;Sklavenkьste;Wybrzeїe Niewolnicze;;Невольничий Берег;;;X
AREA_SLOVAKIA;Slovakia;Slovaquie;Slovacchia;Eslovaquia;Slowakei;Sіowacja;;Словакия;;;X
AREA_SMOLENSK;Smolensk;Smolensk;Smolensk;Smolensk;Smolensk;Smoleсsk;;Смоленск;;;X
AREA_SOMALIA;Somalia;Somalie;Somalia;Somalia;Somalia;Somalia;;Сомали;;;X
AREA_SOMALILAND;Somaliland;Somaliland;Somalia;Somalilandia;Somaliland;Somaliland;;Сомалиленд;;;X
AREA_SOUTH_BORNEO;South Borneo;Bornйo Sud;Borneo meridionale;Borneo meridional;Sьdborneo;Poіudniowe Borneo;;Южный Борнео;;;X
AREA_SOUTH_CAROLINA;South Carolina;Caroline du Sud;Sud Carolina;Carolina del Sur;Sьd-Carolina;Karolina Poіudniowa;;Южная Каролина;;;X
AREA_SOUTH_DAKOTA;South Dakota;Dakota du Sud;Sud Dakota;Dakota del Sur;Sьd-Dakota;Poіudniowa Dakota;;Южная Дакота;;;X
AREA_SOUTH_ETHIOPIA;South Ethiopia;Йthiopie mйridionale;Etiopia meridionale;Etiopнa meridional;Sьdдthiopien;Poіudniowa Etiopia;;Южная Эфиопия;;;X
AREA_SOUTH_FINLAND;South Finland;Sud de la Finlande;Finlandia meridionale;Finlandia meridional;Sьdfinnland;Poіudniowa Finlandia;;Южная Финляндия;;;X
AREA_SOUTH_GILBERTS;Ellices;Iles Gilbert mйridionales;Gilberti meridionale;Islas Gilbert del sur;Sьdl. Gilbertinseln;Poіudniowe Wyspy Gilberta;;Острова Эллис;;;X
AREA_SOUTH_ITALY;South Italy;Italie mйridionale;Italia meridionale;Italia meridional;Sьditalien;Poіudniowe Wіochy;;Южная Италия;;;X
AREA_SOUTH_KRASNOYARSK;South Krasnoyarsk;Sud de Krasnoпarsk;Krasnoyarsk meridionale;Krasnoiarsk meridional;Sьd-Krasnojarsk;Poіudniowy Krasnojarsk;;Южный Красноярск;;;X
AREA_SOUTH_NEW_HEBRIDES;South New Hebrides;Les Nouvelles Hйbrides du Sud;Nuove Ebridi meridionali;Sur de las Nuevas Hйbridas;Sьdliche Neue Hebriden;Poіudniowe Nowe Hebrydy;;Юг Новых Гебридов;;;X
AREA_SOUTH_NIGERIA;South Nigeria;Nigeria mйridional;Nigeria meridionale;Nigeria meridional;Sьdnigeria;Poіudniowa Nigeria;;Южная Нигерия;;;X
AREA_SOUTH_PERSIA;South Persia;Perse mйridionale;Persia meridionale;Persia meridional;Sьdpersien;Poіudniowa Persja;;Южная Персия;;;X
AREA_SOUTH_RHODESIA;South Rhodesia;Rhodйsie mйridionale;Rodesia meridionale;Rhodesia del Sur;Sьdrhodesien;Poіudniowa Rodezja;;Южная Родезия;;;X
AREA_SOUTH_ROMANIA;South Romania;Sud de la Roumanie;Romania meridionale;Rumania meridional;Sьdrumдnien;Poіudniowa Rumunia;;Южная Румыния;;;X
AREA_SOUTH_SCOTLAND;South Scotland;Sud de l’Йcosse;Scozia meridionale;Escocia meridional;Sьdschottland;Poіudniowa Szkocja;;Южная Шотландия;;;X
AREA_SOUTHCENTRAL_NORWAY;Southcentral Norway;Centre-sud Norvиge;Norvegia centro-meridionale;Centro-sur de Noruega;Sьdl. Mittelnorwegen;Poіudniowo-њrodkowa Norwegia;;Юго-центральная Норвегия;;;X
AREA_SOUTHERN_NORWAY;Southern Norway;Norvиge mйridionale;Norvegia meridionale;Noruega meridional;Sьdnorwegen;Poіudniowa Norwegia;;Южная Норвегия;;;X
AREA_ST.HELENA;St.Helena;Sainte Hйlиne;St. Elena;Santa Elena;St.Helena;Wyspa Њwiкtej Heleny;;о-в Св. Елены;;;X
AREA_STALINGRAD;Stalingrad;Stalingrad;Stalingrado;Stalingrado;Stalingrad;Stalingrad;;Сталинград;;;X
AREA_SUEZ_CHANNEL_AREA;Suez Channel Area;Zone du Canal de Suez;Area del canale di Suez;Zona del Canal de Suez;Suezkanal;Rejon Kanaіu Sueskiego;;Суэцкий канал;;;X
AREA_SUIYUAN_NINGXIA;Suiyuan-Ningxia;Suiyuan Ningxia;Suiyuan-Ningxia;Suiyьan-Ningxia;Suiyuan/Ningxia;Sujuan-Ningsia-Huej;;Суйюань_Нинся;;;X
AREA_SUMATRA;Sumatra;Sumatra;Sumatra;Sumatra;Sumatra;Sumatra;;Суматра;;;X
AREA_SUNDA_ISLANDS;Sunda Islands;Iles Sunda;Isole Sunda;Islas de Sunda;Sunda-Inseln;Wyspy Sundajskie;;о-ва Сунда;;;X
AREA_SVERDLOVSK;Sverdlovsk;Sverdlovsk;Sverdlovsk;Sverdlovsk;Swerdlowsk;Swierdіowsk;;Свердловск;;;X
AREA_SWITZERLAND;Switzerland;Suisse;Svizzera;Suiza;Schweiz;Szwajcaria;;Швейцария;;;X
AREA_SYDNEY;Sydney;Sydney;Sidney;Sнdney;Sydney;Sydney;;Сидней;;;X
AREA_SYZRAN;Syzran;Syzran;Syzran;Sizran;Syzran;Syzraс;;Сызрань;;;X
AREA_TADZJIKISTAN;Tadzjikistan;Tadjikistan;Tadzhikistan;Tayikistбn;Tadschikistan;Tadїykistan;;Таджикистан;;;X
AREA_TAIWAN;Taiwan;Taiwan;Taiwan;Taiwбn;Taiwan;Tajwan;;Тайвань;;;X
AREA_TAJMYR_EVENK;Tajmyr-Evenk;Tajmyr Evenk;Tajmyr-Evenk;Tajmyr-Evenk;Taimyr/Ewenk;Tajmyr-Ewenk;;Таймыр_Эвенкия;;;X
AREA_TAMBOV;Voronezh;Voronej;Voronezh;Vorуnezh;Voronezh;Woroneї;;Воронеж;;;X
AREA_TANGANYIKA;Tanganyika;Tanganyika;Tanganyika;Tanganica;Tanganjika;Tanganika;;Танганьика;;;X
AREA_TENNESSEE;Tennessee;Tennessee;Tennessee;Tennessee;Tennessee;Tennessee;;Теннесси;;;X
AREA_TEXAS;Texas;Texas;Texas;Texas;Texas;Teksas;;Техас;;;X
AREA_THE_AZORES;The Azores;Les Aзores;Le Azzorre;Islas Azores;Azoren;Azory;;Азорские о-ва;;;X
AREA_THE_FALKLANDS;The Falklands;Les Malouines;Le Falkland;Islas Malvinas;Falkland-Inseln;Falklandy;;Фолклендские о-ва;;;X
AREA_THRACE;Thrace;Thrace;Tracia;Tracia;Thrakien;Tracja;;Фракия;;;X
AREA_TIBET;Tibet;Tibet;Tibet;Tнbet;Tibet;Tybet;;Тибет;;;X
AREA_TIERRA_DEL_FUEGO;Tierra del Fuego;Tierra del Fuego;Terra del Fuoco;Tierra del Fuego;Feuerland;Ziemia Ognista;;Огненная Земля;;;X
AREA_TOBRUK;Tobruk;Tobrouk;Tobruk;Tobruk;Tobruk;Tobruk;;Тобрук;;;X
AREA_TOHOKU;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;Tohoku;;Тохоку;;;X
AREA_TOMSK;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;Tomsk;;Томск;;;X
AREA_TRANSJORDAN;Transjordan;Transjordanie;Transjordan;Transjordania;Transjordanien;Transjordania;;Трансиордания;;;X
AREA_TRANSNISTRIA;Zhitomir;Jitomir;Zhitomir;Zhitomir;Zhitomir;Їytomierz;;Житомир;;;X
AREA_TRANSVAAL_NATAL;Transvaal-Natal;Transvaal Natal;Transvaal-Natal;Transvaal-Natal;Transvaal/Natal;Transwal-Natal;;Трансвааль_Наталь;;;X
